,order_id,cpf,order_value,charges,discount_value,voucher,order_status,order_date
53,34ce714a-5e0b-485b-823c-86535d675f39,740.813.295-32,1138.93,10.74,23.59,consequuntur,pending,2024-03-08
54,163b8e8f-eff4-4b5d-abfc-e90152f043ce,135.628.097-86,379.39,53.35,154.21,sed,invoiced,2024-11-08
55,6787a552-3ec3-4e14-82a3-377a7b059b75,852.073.964-47,158.95,33.99,10.0,rem,invoiced,2024-11-30
56,8570859a-a721-4bb0-9947-b71c2c1f5063,452.081.697-11,891.64,75.97,10.0,adipisci,invoiced,2024-08-06
57,bf3aeef0-29e6-4e15-af1f-bdc7527e99e8,126.794.308-40,868.64,104.48,59.33,possimus,production,2024-10-07
58,fb408854-1cfa-4e11-be64-fd885f1342d2,937.102.456-99,581.77,91.01,119.91,ipsum,invoiced,2024-03-20
59,6badc0f3-f52f-4556-b886-8c067e961a34,578.231.940-23,223.87,44.42,10.0,porro,invoiced,2024-09-15
60,312a9bb7-bffd-44ce-a255-3359e9737cc9,420.851.973-88,1214.43,35.11,10.0,asperiores,production,2025-01-06
61,977689c1-17dc-437f-b94b-9d377e1a47dc,927.431.560-07,644.12,73.86,10.0,rerum,invoiced,2024-04-13
62,70c7c59e-5d85-4d16-9e67-95c0803c9183,429.768.035-10,1043.68,12.78,102.9,minus,invoiced,2025-02-19
63,1ea691ea-5fb9-4aa5-ad64-edbfaa4409d1,648.013.972-04,712.91,26.46,10.0,esse,invoiced,2024-08-07
64,fa7aeeec-1850-4af0-846d-5421825a11cb,864.257.013-07,1207.83,73.42,126.13,debitis,await_payment,2025-01-01
65,1ed7839e-c7f4-43e7-97e8-298e6c893892,650.312.984-05,251.92,61.41,68.83,quis,invoiced,2024-10-22
66,b2440e3b-1e93-42dc-a376-f5a0116e4e4f,769.204.381-78,1355.86,18.1,76.54,optio,await_payment,2025-01-21
67,eaafa1f7-f747-42c6-a39b-17e8475a998e,679.304.812-04,526.78,38.17,10.0,delectus,invoiced,2024-04-06
68,c4d50a6c-298f-4fd7-b942-32196dd73abb,354.271.690-16,1278.78,59.15,84.13,quibusdam,invoiced,2024-10-07
69,6e5e6640-fdc1-4ddf-a9d0-1674e2546bba,698.472.103-22,1408.53,96.87,10.0,eveniet,invoiced,2024-08-11
70,8e99ecff-6a67-4a07-b17b-f8b51eb1043f,401.963.285-51,938.66,105.74,10.0,tempore,await_payment,2024-05-30
71,6ca5faf1-47ac-4178-b057-c0f4d47b295b,640.231.785-35,862.29,49.67,32.86,fuga,pending,2025-02-20
72,6ad84f5a-c6cd-4244-a745-fa83843996fa,246.017.983-96,67.14,73.44,10.0,consectetur,invoiced,2024-11-28
73,75d53475-b472-4cfc-9803-5f78242e1e83,408.619.375-20,663.86,119.57,150.79,placeat,invoiced,2025-02-17
74,360bc53e-469a-46dd-8f07-29051b7b7496,562.487.109-02,647.44,81.81,72.32,voluptas,invoiced,2024-09-17
75,1505cdef-5eca-4f0d-8cbd-cc424dac50bb,521.348.760-26,322.7,95.58,174.17,explicabo,invoiced,2024-05-23
76,6bf0d2de-cddd-4fc7-9406-45181df20e16,638.971.240-50,107.9,70.28,109.68,mollitia,pending,2024-12-15
77,4dc93721-49b9-4924-8954-8c7a1b99432d,309.178.425-88,1061.65,110.28,10.0,accusamus,await_payment,2024-10-21
78,76a7c125-f43e-419e-800c-aad811c8a9d5,067.849.351-01,600.39,19.88,10.0,facilis,await_payment,2024-12-09
79,255bdf02-6e3b-4143-ac92-5e2f18b0dc1e,978.256.134-73,1346.59,107.2,174.19,deserunt,invoiced,2024-07-12
80,8e24ed9d-0cc4-4c8f-aa85-f4cc2b96ef7d,038.529.674-65,401.81,18.92,185.89,veritatis,invoiced,2024-12-02
81,78ebdc1c-10cb-43b6-b2b8-69b85303d488,748.931.065-20,232.52,28.57,89.92,veritatis,invoiced,2024-03-04
82,750e1b0e-086a-4a50-90d5-d4dbec00cfa0,261.840.975-20,792.75,128.74,10.0,excepturi,invoiced,2024-06-18
83,1d51d3f4-27d9-4381-8719-0eaa97c58c5a,281.759.364-28,623.72,142.23,180.56,et,await_payment,2024-06-18
84,e1e01b76-f733-4b6d-ba86-82805750629c,235.968.710-77,497.14,68.33,10.0,laudantium,await_payment,2024-08-02
85,93feb1aa-c643-4fa8-b8da-b91d7fa22c5a,635.718.902-21,946.1,147.12,10.0,iusto,invoiced,2024-03-02
86,403191a0-d365-497c-ba73-a61e64e7cd84,689.412.573-28,467.16,33.07,10.0,rem,await_payment,2025-02-17
87,3ef54188-c8d0-4cd4-b22f-c8ff7db3e289,190.783.546-66,677.39,97.24,85.15,necessitatibus,invoiced,2024-09-07
88,2af45f2e-0592-4bd4-b395-ae7b3c124897,928.716.350-21,476.56,135.41,49.12,reprehenderit,await_payment,2024-11-12
89,049c1926-98af-4435-a1ce-54cc91c40fef,024.935.678-38,1026.59,90.98,159.19,ut,invoiced,2025-02-04
90,b57a6ad8-6661-4812-b2b0-736728f66c67,816.457.032-07,186.32,82.4,10.0,maxime,invoiced,2024-09-27
91,1a492d88-0d84-4b99-bb2e-23b615d790a4,758.609.132-30,99.77,145.66,10.0,laboriosam,await_payment,2024-11-07
92,9afca1fe-0e12-4d7d-a9f4-ae2707437a4a,234.870.591-50,1138.16,123.57,184.33,blanditiis,production,2024-09-10
93,0ada5a96-edea-45df-a016-891f7eafa45b,928.701.346-22,1195.3,137.96,10.0,velit,invoiced,2025-02-08
94,e27be674-aeaa-40e5-aa6a-6e839932bd6e,851.963.402-89,554.34,117.83,169.75,recusandae,invoiced,2024-12-19
95,c8ee566f-3733-45be-91e7-7ed748dd3188,801.734.296-96,954.52,18.48,10.0,deleniti,invoiced,2024-03-11
96,eb26c70b-f4a1-40bc-82a0-704323a442f9,610.372.945-99,972.48,32.47,81.82,expedita,invoiced,2024-10-05
97,9c95f412-e66a-49f3-a15d-7fb6dc534dad,572.146.803-35,625.44,121.49,156.2,eaque,invoiced,2024-11-12
98,292ac284-6fa7-4773-85b4-59ba4ad7351a,349.208.715-97,114.32,83.13,129.44,voluptatibus,pending,2024-10-14
99,99a51286-6570-48cd-96f1-4350e5d61b96,951.078.643-84,403.23,10.69,156.98,inventore,invoiced,2025-02-05
100,48e52687-0925-4e64-98c3-19eab0e4191d,872.095.413-14,1316.26,106.02,10.0,maiores,pending,2024-09-11
101,8a82ddc7-4fcb-45f3-87c1-7a980887e785,651.370.489-84,427.34,109.36,10.0,sit,pending,2024-12-10
102,4ace68f5-c565-4ffb-bc35-52fb272ba018,256.794.830-92,1003.05,62.11,10.0,dolorum,await_payment,2024-05-19
103,528f291f-086a-4f2f-b14b-cde8cd75782d,026.735.189-59,871.93,69.64,10.0,labore,invoiced,2024-06-16
104,dfac4e21-5741-4249-9881-c5b8c49dec35,139.825.064-33,874.14,57.71,10.0,expedita,pending,2025-01-05
105,354b6e24-d064-4b33-8e93-b97bf8e85724,869.754.321-55,1276.64,47.82,51.03,dicta,invoiced,2024-04-19
106,64a520a1-3448-4ea1-ae43-35247fa18248,127.853.964-64,123.63,137.74,167.68,voluptate,invoiced,2024-07-12
107,171ba783-e4f7-42e9-8b7e-e97aca6602a7,406.127.539-99,347.58,71.73,113.64,rerum,pending,2024-04-22
108,e508402f-819c-46ee-b35f-b5329f66ebf8,804.139.562-70,870.73,93.23,112.38,aut,pending,2024-08-27
109,089bf75d-baea-41ef-a2d1-63a84e2b1f66,581.763.249-73,80.76,62.32,47.12,impedit,await_payment,2024-07-23
110,8c9e36b6-202e-4aee-b7ed-121c2c23b1f1,246.178.039-04,135.79,84.63,104.73,voluptas,invoiced,2024-06-30
111,2b4dc090-c07d-4024-afe4-b3669a011d39,041.976.253-16,1097.21,99.32,111.16,error,invoiced,2024-03-30
112,ae552125-0c13-4cfa-befb-1b21448946e3,853.946.120-05,1323.63,114.87,10.0,impedit,await_payment,2024-09-20
113,cd4ad747-81ac-4481-b31d-7e95fe3665e3,246.017.983-96,297.7,86.38,180.09,quia,invoiced,2024-05-05
114,c364c606-52e4-4a4e-aafc-ab4cd08d709c,481.307.592-41,751.78,59.82,82.99,ducimus,invoiced,2025-01-14
115,6c5e2df1-27df-4292-9178-5dbf78c1610a,984.561.027-76,1272.62,146.68,136.29,dolorum,production,2024-12-16
116,a0510bd9-db47-48c5-b7f8-a19985c6e2fa,198.237.065-30,1444.06,45.87,70.85,nihil,invoiced,2024-10-23
117,cfd017c3-2250-4b77-8a9a-6afb4f225c04,680.375.129-59,188.85,35.75,10.0,dicta,canceled,2024-07-25
118,d7f5fc07-4cfa-41c9-ae53-52a0fbc019ea,819.526.340-24,1490.28,53.6,10.0,recusandae,production,2024-10-07
119,48419032-5d71-4468-8093-d48229344b51,948.572.316-46,516.9,18.89,101.34,nam,invoiced,2024-11-30
120,505389fb-c786-4634-874c-81040cf46540,534.907.281-14,1270.59,79.56,10.0,consequatur,await_payment,2024-12-27
121,23581629-9aff-478f-8a5a-39d68eb4daa2,364.270.895-10,941.24,133.77,124.75,beatae,production,2024-09-23
122,d5d823a4-8b4b-400b-b291-034fb634fdbe,918.237.054-05,800.08,35.83,10.0,quisquam,invoiced,2024-04-24
123,9ddb35e4-c9cc-471b-9d7c-1819223befd2,758.316.204-17,635.19,96.45,53.45,eos,invoiced,2024-08-26
124,3eeb9345-c1ea-4130-a49a-f2bb3d7471c6,190.764.852-67,610.9,36.42,10.0,rem,invoiced,2024-10-17
125,6031412a-0f11-4ab9-8055-b006720a4abe,138.076.952-30,244.91,142.94,10.0,consequuntur,invoiced,2025-01-16
126,1f102f1a-729c-4c7b-91c9-63288519033a,481.376.902-04,287.88,117.47,10.0,natus,invoiced,2024-05-16
127,497c8f9d-39f7-4d7e-9f7f-e1302c94151f,705.298.431-88,527.57,60.66,10.0,necessitatibus,invoiced,2024-03-23
128,cd704524-d8b6-443a-a9bc-84020bd1d401,518.720.639-77,333.73,95.27,10.0,atque,invoiced,2024-05-09
129,ef1e72db-8a07-4d51-9d75-535a63697e6b,237.591.480-50,1293.04,89.62,10.0,quod,invoiced,2024-12-21
130,f2f830f3-e360-4f37-8732-cb96993a6161,843.750.916-57,197.16,40.67,10.0,quaerat,invoiced,2025-02-12
131,be6aa167-ba07-49ce-b525-24424623da5e,396.140.852-15,1004.87,50.83,90.36,temporibus,invoiced,2025-02-19
132,fd79f3ec-6d0b-4841-96d3-0f60297f65ba,483.910.526-05,672.26,100.68,106.31,voluptate,production,2024-03-08
133,b4077e7d-7225-4a47-aee2-124b692f5c49,259.784.601-67,1492.94,102.37,187.9,cupiditate,await_payment,2024-12-11
134,502c7436-e1b0-4b4b-b1ab-e8b899c31233,463.721.509-99,154.86,36.89,10.0,minus,pending,2024-11-22
135,2cef08bc-70ab-4537-b70b-689574cc72db,952.186.043-05,192.85,105.4,128.4,facilis,pending,2025-01-15
136,3fe1a298-f0cf-4181-b9c5-82f1323b6f06,567.491.028-67,446.0,103.25,38.25,consequuntur,canceled,2024-09-16
137,db721bf4-49d0-4b55-b453-b24e5f77babb,639.017.285-03,603.28,30.95,10.0,id,production,2025-01-25
138,04e8b491-c677-4d0d-a6e1-4ae40b6d0fe0,306.218.459-06,168.93,27.32,10.0,quia,invoiced,2024-10-14
139,280d0e93-de81-41e2-a9c8-5e7b5eeca00e,139.825.064-33,750.79,81.6,85.01,veritatis,invoiced,2025-01-22
140,851ffa8d-2f90-4e9d-8001-7687e34aef2d,652.940.831-24,963.35,98.39,10.0,similique,invoiced,2024-08-17
141,ccaa0ed4-5c20-4f9c-96e5-3d2e916e7ffa,130.749.682-22,931.97,108.68,61.08,veniam,invoiced,2024-11-12
142,47c2acc5-e382-4775-9433-96cfa55c37b7,209.768.413-04,685.95,78.82,49.2,animi,invoiced,2025-01-18
143,79a35aef-da24-47a2-8470-c1a3bad00922,059.273.418-88,640.33,72.19,10.0,numquam,invoiced,2025-02-07
144,b44b08e1-770a-4958-a64a-6335c2fd7ccf,604.358.129-98,1377.91,131.98,113.23,modi,await_payment,2024-08-03
145,e0bab188-c63d-49f6-ac88-5c3d3a139819,958.072.413-04,142.97,149.98,184.95,placeat,pending,2024-03-06
146,1a1e0eea-1281-4b65-b301-1c8813f8b2d0,379.580.461-20,1045.88,75.72,96.19,delectus,invoiced,2024-09-14
147,5ddbf7ce-e157-4be4-bf91-e20b17f35312,608.257.149-58,1171.82,91.52,136.83,molestias,invoiced,2024-09-08
148,b7dc7676-4ea4-495d-89b7-4acb1b434fce,514.630.279-07,139.49,61.83,197.04,qui,canceled,2024-12-15
149,0e3d42d1-095a-4125-9e2d-2efa2611c5a2,862.137.490-04,1195.03,109.99,10.0,hic,invoiced,2024-05-19
150,aae4da69-a4ad-4a06-95a1-63799a5d2d49,072.583.169-30,554.27,126.28,97.36,consequuntur,pending,2024-06-19
151,d2eaf794-610f-49ad-a853-fa1c80383783,375.402.698-47,1455.24,105.5,10.0,consequuntur,production,2024-09-28
152,355a571a-cac6-467d-b04c-1075db971900,327.895.640-00,1455.78,48.44,24.23,illo,invoiced,2025-02-21
153,a2315565-fc64-43a8-a304-a5df90bb332c,526.739.810-12,1308.02,63.73,28.24,libero,invoiced,2024-08-13
154,d430306d-c7a1-450c-8b02-a4b84ea7532a,568.417.392-64,1141.17,86.26,10.0,commodi,await_payment,2024-10-29
155,9c8f893f-cf31-4675-9ec6-bad31c94dfae,314.758.629-46,477.14,79.4,10.0,doloremque,await_payment,2024-06-13
156,06f49792-4c3e-4d44-83b0-b7b83f20cd98,540.982.317-60,1300.39,105.76,10.0,consequuntur,invoiced,2024-08-11
157,a69c362d-cbfc-4daa-bdf7-7d591a2829b6,283.694.051-42,415.98,70.78,143.24,commodi,invoiced,2024-04-13
158,28f8e550-b446-43a0-9223-5ee917cdb957,821.594.603-89,295.91,94.3,90.51,asperiores,invoiced,2025-02-11
159,ff2d6ed3-78d4-4c44-bea6-2c99864adde3,038.745.296-65,509.31,149.34,172.0,consequuntur,invoiced,2024-05-13
160,9239b1b6-43b0-4dd8-b972-75333894ccbe,236.817.094-40,888.59,69.8,10.0,aliquid,pending,2024-11-07
161,151d55ce-d1f2-4ba8-9633-a1bcccf7654a,795.103.682-02,549.87,45.13,10.0,asperiores,invoiced,2024-11-24
162,c8aa555f-afa3-46b6-8a80-03c6a8af1d91,369.214.078-96,437.34,131.42,126.58,quidem,invoiced,2024-04-26
163,d2cc519a-3710-408a-b697-c399422ea53c,503.491.728-97,602.89,131.59,84.82,cupiditate,invoiced,2024-04-08
164,2c4aca4b-d945-4224-8322-b10b6963d8de,054.287.193-97,304.56,39.19,40.23,accusantium,invoiced,2024-09-16
165,921a37ce-d023-4856-b3bd-0f847492ab9d,316.429.057-80,244.27,62.05,193.5,consequuntur,production,2024-06-05
166,9096deef-a99b-4a86-8e65-0520f6fb95ea,140.938.672-40,628.29,127.01,10.0,sapiente,invoiced,2025-01-10
167,a3c8a756-999f-4fea-b02e-2a63a1f77827,367.491.802-13,703.48,144.32,100.66,alias,invoiced,2024-07-26
168,4840b400-a48f-45a9-b7ef-6e2f2f958513,378.415.906-01,159.47,30.42,10.0,ab,invoiced,2024-11-05
169,924ab42d-0178-4e70-92c6-ed91f32e8d81,721.834.605-71,138.98,47.16,10.0,quia,invoiced,2024-03-26
170,a22420ad-490d-4bd3-8527-d8875754594f,638.059.471-00,213.58,126.26,176.56,nostrum,production,2024-03-22
171,5634a515-1d2b-4af0-9852-d6d9d232ad9b,036.987.142-13,441.47,76.23,98.4,omnis,await_payment,2024-10-02
172,8c82cd40-5d1e-4444-a750-cbe1e3eae933,524.309.176-61,1396.04,65.3,10.0,praesentium,invoiced,2024-10-14
173,8ff73a6a-296e-4faf-9c67-44490d2642a4,347.091.865-10,80.77,44.55,36.57,amet,pending,2024-04-05
174,dede4c45-d48a-4a0a-ae8c-f514807e8103,319.402.786-78,1498.26,73.99,10.0,necessitatibus,pending,2025-01-11
175,cec4c297-fa7b-4147-83a9-7b93bde0c138,480.576.932-74,1277.01,59.11,141.14,molestiae,invoiced,2024-07-27
176,43891800-2e88-4f03-a1eb-203f9fe25ef1,028.375.169-02,151.84,109.17,10.0,quaerat,invoiced,2024-11-18
177,8c5aef32-f063-46d2-9ae7-f8fbe8eb4109,246.178.039-04,429.53,61.36,194.66,maxime,invoiced,2025-02-13
178,653faa14-f356-4955-9cc7-ae24da95e4ec,413.856.029-70,894.75,17.16,10.0,numquam,await_payment,2024-06-21
179,a040fab1-4e69-460f-a218-1a3be7fbc1ef,574.098.621-49,1445.62,79.35,10.0,consequuntur,invoiced,2024-08-11
180,766f70fe-3dda-468f-abe6-f77811c31d56,359.417.806-48,461.2,71.57,64.97,alias,invoiced,2024-10-16
181,a4fe3a58-abc7-4ec4-9ff5-65c3ebb811b7,563.829.047-83,499.44,22.08,10.0,laboriosam,invoiced,2024-08-13
182,64af8250-13d3-4cf2-bfcf-ca089d396ae0,850.627.931-30,1478.35,50.09,198.19,est,await_payment,2024-08-13
183,a5ee1f95-b765-4cd1-bef6-1165ad79d605,276.159.483-55,692.15,12.99,33.63,repellat,pending,2024-06-21
184,85c1ab4a-3f2f-41ea-a440-cae256b7ad44,857.094.621-01,277.74,89.73,10.0,eveniet,invoiced,2025-01-04
185,6bc07121-e87b-46f8-9a35-0a3ef4047eaa,014.568.392-33,1059.69,45.0,86.8,nostrum,canceled,2025-02-13
186,fe963d16-a121-4ada-9573-8d33b99d831d,623.715.049-80,566.09,73.82,10.0,est,pending,2024-11-22
187,a64ad0f3-0793-4c30-b186-f7bd31e0f498,764.012.538-35,267.06,137.83,24.81,dolor,invoiced,2024-12-14
188,2f47d04c-d14e-4cf9-a09a-f6aa72502eac,638.147.520-07,666.12,132.56,10.0,est,invoiced,2024-12-27
189,eee8e3e3-2fef-4d0f-b328-d08d3eaf8f26,196.075.328-21,83.84,63.25,10.0,iure,invoiced,2024-10-06
190,378bd716-04b1-4a02-80c4-f3738da7ea40,583.794.260-29,205.79,22.57,10.0,laborum,invoiced,2024-12-16
191,802a3f1e-46fb-4de8-9f2f-6445b6c1e5f7,647.139.085-84,791.63,108.47,26.27,ipsum,invoiced,2024-07-28
192,eb39b8d0-32d7-428e-8695-56949dfcfded,340.762.851-07,196.55,46.27,10.0,sapiente,invoiced,2024-06-14
193,6acdaaab-3ac0-412e-829a-abd83422ffb8,310.976.548-93,262.41,87.16,165.71,eligendi,invoiced,2024-11-04
194,419292aa-2e5f-4a4f-a4b6-16c6e4e56e68,920.361.547-43,1332.68,65.83,10.0,libero,invoiced,2024-06-19
195,30155177-8097-4075-81c2-9c585a4af1e3,508.912.764-67,568.2,70.49,143.98,quam,invoiced,2024-09-12
196,212ed51c-18ac-460c-a190-0122c51bf214,736.205.198-03,1180.9,123.31,114.96,cum,invoiced,2024-04-07
197,f479775d-7c55-4d1e-918b-73442bf32459,768.503.129-95,757.17,31.6,136.94,aut,invoiced,2025-02-28
198,26600996-e3d8-4bdc-b44a-2631d6c1cb24,812.059.467-30,444.08,72.58,10.0,quam,invoiced,2024-06-26
199,d10112a3-0078-4fd0-bb69-9896f194d602,896.320.517-77,248.09,135.11,90.92,aspernatur,invoiced,2024-09-28
200,398cb289-dcc3-4231-b4f5-b8759d7a1798,429.068.357-65,673.03,95.74,154.78,amet,pending,2024-09-04
201,f15e1bc6-6c13-4874-a750-fa327d691d48,108.465.239-06,659.76,88.86,130.15,exercitationem,invoiced,2024-11-12
202,31dc0d43-c353-4843-aade-a2d3306a63a3,403.856.921-70,254.06,116.47,87.55,cumque,invoiced,2024-11-08
203,8f93fcb8-8eb3-47d1-826b-2a5aa9de687d,214.957.638-46,1331.72,22.55,193.27,nulla,invoiced,2024-08-26
204,1a5a71a7-49e3-41cd-8b91-ba9d4fd12858,049.328.761-22,357.05,107.0,35.29,recusandae,await_payment,2024-11-16
205,58b7361f-111f-4cdd-813f-2a755f716038,703.216.948-13,555.07,103.12,158.16,cumque,invoiced,2024-03-03
206,f47ed43e-d17b-4778-80c9-facdf4a8c3b9,297.183.605-30,376.82,48.55,10.0,reprehenderit,invoiced,2024-04-07
207,b79c7482-f127-46ee-9af6-c57cb6988ad8,869.532.417-64,1087.6,97.56,53.45,dignissimos,pending,2024-07-07
208,feae9aae-2dd9-4038-871b-64895cdce51a,843.670.259-00,1483.39,69.37,44.48,voluptates,pending,2024-11-01
209,1507e861-50b1-4c7c-a706-43731118bdc2,052.463.981-70,141.1,110.99,136.58,in,invoiced,2024-09-12
210,2a4b2c22-562a-4d16-8a46-b0c681c59dd7,638.147.520-07,976.46,135.47,146.86,temporibus,invoiced,2024-07-16
211,0c8e5203-cda4-4781-8f33-f8161c3ca3dd,396.587.421-73,1414.28,146.62,10.0,totam,invoiced,2024-05-08
212,fab5882a-1ff4-4c23-87de-fda27df23afc,380.925.147-04,559.25,96.07,10.0,perspiciatis,invoiced,2024-11-13
213,dadcb98a-7449-4212-b082-76440bb6d8e2,703.645.892-56,747.37,90.2,81.49,nesciunt,invoiced,2024-06-26
